MDS1,MDS2,Year
-1.4387623708021586,0.12057529618180572,1998
-1.4634425658083223,-0.16706462531439711,1999
-1.0656971231361518,0.027270149325628063,2000
-0.1681886194033587,0.3054086272000738,2001
-0.2279348174593428,0.1029699131365865,2002
-0.042183716325176805,0.03638781587445947,2003
-0.07545934947493835,0.5069834690935607,2004
-0.14316610676948593,0.2456722053059516,2005
-0.006601848863251089,-0.2013104794214069,2006
0.040020209078054786,0.12226714227241221,2007
0.16108885366295914,-0.20271863597075213,2008
0.26670064785708203,-0.017612854184337053,2009
0.7997694679455203,0.4594212420323965,2010
0.7737344475912916,0.2564146640615047,2011
0.31750909875237243,-0.4283966920459028,2012
0.2542527541722785,-0.5434850070998877,2013
0.33495409182805147,-0.29995598825563247,2014
0.4448042780158802,-0.07368166248407466,2015
0.19510427226031019,-0.058062379210078716,2016
0.21014989296266953,-0.3552750867820981,2017
0.42972080612020186,0.012220704074796782,2018
0.40362769779551444,0.15197218220939143,2019
