FISH_N,STRUCT_1_AGE_READER_1,STRUCT_1_AGE_READER_2,STRUCT_2_AGE_READER_1,STRUCT_2_AGE_READER_2,REAL_AGE,FINAL_AGE,YEAR_CLASS_FINAL_AGE,READER_1,READER_2,STRUCTURE,SECTION,MEASUREMENT_AXIS,PICTURE_ID1,PICTURE_ID2,PICTURE_ID3,F-E,F-A1,A1-A2,A2-A3,A3-A4,A4-A5,A5-A6,A6-A7,A7-A8,A8-A9,A9-A10,LA-E,CLEAR_ZONE,COMMENTS
T1738,6,6,,,,6,1990,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,,SMB.LML.080196.RANG.003-40X,,,754.6792941,221.4611407,160.3461846,82.7006066,98.02853886,73.79747995,95.45183135,,,,,22.89351192,,Image taken on top of another slide; Focus to proximal edge ventral of sulcus
T1740,2,2,,,,2,1994,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,,SMB.LML.080796.RANG.002-1 40X,SMB.LML.080796.RANG.002-2 100X,,439.9688185,245.8075986,172.074878,,,,,,,,,22.08634185,,Image taken on top of another slide; Focus to proximal edge ventral of sulcus
T1794,17,,,,,17,1982,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1795,9,,,,,9,1990,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1796,12,,,,,12,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1797,11,,,,,11,1988,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1846,9,,,,,9,1988,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1847,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1849,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1851,12,,,,,12,1985,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1853,17,,,,,17,1980,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1854,15,,,,,15,1982,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1855,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1856,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1857,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1858,13,,,,,13,1984,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1859,14,,,,,14,1983,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1860,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1861,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1864,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1865,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1866,12,,,,,12,1985,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1867,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1868,13,,,,,13,1984,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1869,6,,,,,6,1991,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1870,12,,,,,12,1985,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1871,7,,,,,7,1990,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1872,4,,,,,4,1993,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1873,14,,,,,14,1983,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1874,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1875,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1877,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1878,16,,,,,16,1981,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1879,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T1902,2,2,,,,2,1994,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,,SMB.LML.073096.RANG.006-1 40X,SMB.LML.073096.RANG.006-2 100X,,421.0419011,196.3478083,188.6804632,,,,,,,,,36.01362958,,Image taken on top of another slide; Focus to proximal edge ventral of sulcus
T1908,1,1,,,,1,1995,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,,SMB.LML.073096.RANG.012-1 40X,SMB.LML.073096.RANG.012-2 100X,,257.8019125,198.3555614,,,,,,,,,,59.44635116,,Image taken on top of another slide; Focus to proximal edge ventral of sulcus
T1912,3,3,,,,3,1993,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,,SMB.LML.080196.RANG.004-1 40X,SMB.LML.080196.RANG.004-2 100X,,517.9445575,239.8922755,126.1561688,116.6535568,,,,,,,,35.24255646,,Image taken on top of another slide; Focus to proximal edge ventral of sulcus
T1919,,2,,,,,,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Bad mount or otolith
