FISH_N,STRUCT_1_AGE_READER_1,STRUCT_1_AGE_READER_2,STRUCT_2_AGE_READER_1,STRUCT_2_AGE_READER_2,REAL_AGE,FINAL_AGE,YEAR_CLASS_FINAL_AGE,READER_1,READER_2,STRUCTURE,SECTION,MEASUREMENT_AXIS,PICTURE_ID1,PICTURE_ID2,PICTURE_ID3,F-E,F-A1,A1-A2,A2-A3,A3-A4,A4-A5,A5-A6,A6-A7,A7-A8,A8-A9,A9-A10,LA-E,CLEAR_ZONE,COMMENTS
B7547,18,,,,,18,1979,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
B7552,16,,,,,16,1981,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
BT.SMR.081007.RANG.001,4,,,,,4,2003,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
CO.WLL.081417.RANG.001,6,9,7,7,,7,2010,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7113,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7144,4,,,,,4,1996,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7150,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7151,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7155,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7162,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7164,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7175,3,,,,,3,1997,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7184,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7193,2,,,,,2,1998,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
F7195,1,,,,,1,1999,Jason Robinson,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.FBL.051410.BEF.001,1,1,,,,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.051916.BEF.001,2,2,,,,2,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,2nd annulus forming at the edge
LLS.LML.051916.BEF.001.R,1,1,,,,1,2015,KJJ,EAB,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.060617.BEF.001,3,3,,,,3,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LLS.LML.072210.GLN.001,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.072210.GLN.002,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.072210.GLN.003,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.081317.RANG.001,3,3,,,,3,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.091917.BEF.001,1,1,,,,1,2016,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LML.102318.TPN.001,1,1,,,,1,2017,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.001,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.002,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.003,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.004,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.005,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.006,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050409.GLN.007,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.001,3,3,,,3,3,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.002,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.003,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.004,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.005,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.006,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.007,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.050410.GLN.008,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.060809.GLN.001,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070109.GLN.001,1,1,,,1,1,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070109.GLN.002,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070109.GLN.003,1,1,,,1,1,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.001,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.002,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.003,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.004,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.005,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.006,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.007,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.008,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.009,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.070810.GLN.010,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.081110.GLN.001,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.081110.GLN.002,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.081110.GLN.003,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.081110.GLN.004,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.090209.GLN.001,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.090209.GLN.002,1,1,,,1,1,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.090209.GLN.003,1,1,,,,1,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.090209.GLN.004,2,2,,,,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.090209.GLN.005,2,2,,,,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.LSP.101816.GLN.001,4,4,,,,4,2012,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.050709.GLN.001,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.050709.GLN.002,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051110.GLN.001,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051110.GLN.002,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051110.GLN.003,3,3,,,3,3,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051110.GLN.004,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051110.GLN.005,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051110.GLN.006,3,3,,,3,3,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051810.GLN.001,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.051810.GLN.002,2,2,,,2,2,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.PRL.070810.GLN.001,1,1,,,1,1,2009,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.RKP.072309.GLN.001,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.RKP.082509.GLN.001,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.RKP.082509.GLN.002,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LLS.RKP.082509.GLN.003,2,2,,,2,2,2007,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LMB.BYP.051617.BEF.001,3,3,3,3,,3,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LMB.BYP.051617.BEF.002,3,2,2,2,,2,2015,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.042512.GLN.001,7,6,,,,6,2006,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge; did not count anything near the focus
LT.FBL.042810.GLN.001,9,10,,,,10,2000,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge and counted one close to focus
LT.FBL.042810.GLN.002,20,22,,,,22,1988,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.042810.GLN.003,12,9,,,,10,2000,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,"Including edge, questionable, possibly 10"
LT.FBL.043009.GLN.001,10,8,,,,9,2000,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.043009.GLN.002,10,9,,,,10,1999,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.043009.GLN.003,19,21,,,,21,1988,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.043009.GLN.004,7,7,,,,7,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge; not much growth btwn 4 and 5
LT.FBL.050417.GLN.001,2,2,,,,2,2015,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Not confident; counted edge
LT.FBL.050417.GLN.002,1,5,,,,3,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Not confident; counted edge
LT.FBL.050417.GLN.003,4,8,,,,6,2011,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Slow growth?; counted edge
LT.FBL.050507.GLN.001,1,,,,,1,2006,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.002,1,,,,,1,2006,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.003,17,,,,,17,1990,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.004,1,,,,,1,2006,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.005,1,,,,,1,2006,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.006,14,,,,,14,1993,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.007,14,,,,,14,1993,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.008,20,,,,,20,1987,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.009,3,,,,,3,2004,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050507.GLN.010,3,,,,,3,2004,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050718.GLN.004,2,2,,,,2,2016,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.001,25,25,,,,25,1983,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.002,7,7,,,,7,2001,?,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.003,19,19,,,,19,1989,?,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.004,8,8,,,,8,2000,?,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.005,5,5,4,4,,4,2004,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Mounted OTO2 given size of fish; counted edge
LT.FBL.050808.GLN.006,7,7,,,,7,2001,?,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.007,7,7,,,,7,2001,?,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.008,4,4,,,,4,2004,?,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.009,7,7,,,,7,2001,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.050808.GLN.010,4,4,,,,4,2004,?,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.051611.BEF.001,9,9,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.051611.BEF.002,5,6,,,,6,2005,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.FBL.052318.TPN.001,4,4,,,,4,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,4th at edge
LT.FBL.052318.TPN.002,3,3,,,,3,2015,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.052318.TPN.003,4,4,,,,4,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Last annulus at edge
LT.FBL.052318.TPN.004,6,6,,,,6,2012,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,"Reverse, 6th at edge"
LT.FBL.052617.TPN.001,1,3,,,,2,2015,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Not confident; 3rd forming at edge? Reversed
LT.FBL.062018.GLN.001,7,7,,,,7,2011,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.101416.TPN.001,2,2,,,,2,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.101416.TPN.002,2,2,,,,2,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,"2nd annulus indistinct, even less so than 1st"
LT.FBL.101416.TPN.003,2,2,,,,2,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,2nd annulus indistinct
LT.FBL.101716.TPN.001,2,2,,,,2,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.FBL.102116.TPN.001,2,2,,,,2,2014,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,2nd annulus indistinct; view upside down with bottom light
LT.FBL.102116.TPN.002,1,1,,,,1,2015,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,1st annulus is indistinct
LT.FBL.102116.TPN.003,4,4,2,4,,,,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,DO NOT USE.  Could not come to agreement on the age with either OTO
LT.FBL.102414.TPN.001,4,4,,,,4,2010,EAB,KJJ,,,,,,,,,,,,,,,,,,,,
LT.FBL.102414.TPN.002,3,3,,,,3,2011,EAB,KJJ,,,,,,,,,,,,,,,,,,,,
LT.LML.011814.RANG.001,20,23,,,,23,1991,EAB,KJJ,,,,,,,,,,,,,,,,,,,,
LT.LML.012118.RANG.001,12,14,14,14,,14,2004,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.012118.RANG.002,10,10,,,,10,2008,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.012118.RANG.003,21,21,18,20,,21,1997,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.012118.RANG.004,8,7,6,8,,7,2011,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.012118.RANG.005,5,5,,,,5,2013,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.012118.RANG.006,6,7,7,7,,7,2011,EAB,KJJ,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.022710.RANG.001,7,8,,,,8,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.022815.RANG.001,17,18,,,,17,1998,EAB,KJJ,,,,,,,,,,,,,,,,,,,,Counted edge; viewed US-down
LT.LML.031211.RANG.001,8,9,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.002,11,11,,,,11,2000,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.003,8,9,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.004,8,9,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.005,7,7,,,,7,2004,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.006,11,12,,,,12,1999,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.007,18,18,,,,18,1993,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.008,9,9,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.009,11,11,,,,11,2000,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.010,8,9,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.011,10,10,,,,10,2001,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.012,7,10,,,,10,2001,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.013,7,8,,,,8,2003,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.014,5,5,,,,5,2006,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.015,19,21,,,,21,1990,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.016,7,7,,,,7,2004,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.017,8,9,,,,8,2003,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.018,10,12,13,13,,13,1998,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Mount OTO2
LT.LML.031211.RANG.019,15,15,,,,15,1996,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.020,10,10,,,,10,2001,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.021,7,7,,,,7,2004,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.022,8,8,,,,8,2003,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.023,8,9,,,,8,2003,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.024,9,8,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.025,15,15,,,,15,1996,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.026,10,10,,,,10,2001,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.027,7,7,,,,7,2004,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.028,17,19,,,,19,1992,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.029,16,19,,,,19,1992,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.030,7,8,,,,10,2001,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.031,11,11,,,,11,2000,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.032,9,9,,,,9,2002,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.LML.031211.RANG.033,18,20,,,,20,1991,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.034,6,8,,,,8,2003,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.035,8,8,,,,8,2003,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.036,14,14,,,,14,1997,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.037,18,18,,,,18,1993,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.038,16,15,,,,16,1995,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031211.RANG.039,13,13,,,,13,1998,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.031415.RANG.001,35,37,,,,36,1979,EAB,KJJ,,,,,,,,,,,,,,,,,,,,Counted edge
LT.LML.040500.T6777,11,,,,,11,1989,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.LML.042000.T6797,8,,,,,8,1992,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.LML.042000.T6798,16,,,,,16,1984,,,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
LT.LML.042512.GLN.001,8,9,,,,9,2003,Eileen Baglivio,Kurt Jirka,OTOLITH,TRANSVERSE,,,,,,,,,,,,,,,,,,
