Sample ID,d15N,d13C
0233A,6.14,-25.52
87.00,7.46,-31.51
245.00,8.15,-23.48
86.00,7.6,-30.41
0225A,7.62,-28.66
212.00,6.64,-26.94
93.00,5.11,-30.74
264.00,9.42,-25.93
210.00,6.79,-28.3
3.00,5.8,-30.94
215.00,6.28,-26.66
0218A,9.01,-30.22
90.00,7.21,-31.23
94.00,5.48,-30.9
115.00,3.07,-37.32
213.00,6.3,-28.29
207.00,7.17,-28.39
216.00,6.22,-27.65
214.00,6.19,-26.36
40.00,7.2,-30.14
312.00,6.77,-29.99
237.00,9.54,-27.48
330.00,8.98,-30.34
220.00,8.02,-23.39
268.00,8.81,-28.5
243.00,7.72,-22.25
219.00,7.59,-26.13
233.00,8.85,-24.53
328.00,8.32,-29.31
171.00,5.23,-28.55
169.00,4.76,-27.77
6.00,6.84,-28.24
206.00,5.56,-26.3
116.00,6.35,-29.95
206.00,7.33,-26.8
84.00,7.22,-28.36
236.00,10.25,-29.77
149.00,5.95,-27.35
222.00,7.6,-24.87
256.00,8.32,-22.94
260.00,7.17,-26.51
251.00,7.94,-25.2
208.00,7.09,-28.61
8.00,7.43,-28.5
234.00,8.47,-24.83
322.00,8.94,-31.23
327.00,9.76,-31.57
205.00,5.67,-27.34
91.00,7.84,-31.12
228.00,8.18,-23.03
257.00,7.22,-27.73
92.00,7.57,-31.26
325.00,8.63,-31.81
319.00,8.73,-31.95
324.00,8.73,-31.48
16.00,6.21,-29.59
258.00,8.76,-24.84
184.00,5.38,-26.94
239.00,9.05,-27.04
311.00,7.65,-30.41
229.00,9.32,-23.12
232.00,8.59,-22.17
315.00,7.8,-29.56
326.00,8.6,-30.19
310.00,8.02,-29.98
263.00,10.8,-25.27
316.00,7.27,-30.99
231.00,6.5,-26.82
157.00,9.18,-23.26
270.00,7.74,-27.61
249.00,8.33,-26.65
85.00,3.47,-35.29
211.00,5.14,-26.21
240.00,8.62,-26.2
114.00,6.2,-30.46
217.00,6.28,-26.28
241.00,8.58,-20.85
221.00,7.56,-25.9
267.00,7.7,-26.69
