"","cat"
"183","Notropis lutipinnis  OR "
"184","Notropis maculatus  OR "
"185","Notropis mekistocholas  OR "
"186","Notropis melanostomus  OR "
"187","Notropis micropteryx  OR "
"188","Notropis nubilus  OR "
"189","Notropis orca  OR "
"190","Notropis ortenburgeri  OR "
"191","Notropis oxyrhynchus  OR "
"192","Notropis ozarcanus  OR "
"193","Notropis percobromus  OR "
"194","Notropis perpallidus  OR "
"195","Notropis petersoni  OR "
"196","Notropis photogenis  OR "
"197","Notropis potteri  OR "
"198","Notropis procne  OR "
"199","Notropis rafinesquei  OR "
"200","Notropis rubellus  OR "
"201","Notropis rubricroceus  OR "
"202","Notropis rupestris  OR "
"203","Notropis sabinae  OR "
"204","Notropis scabriceps  OR "
"205","Notropis scepticus  OR "
"206","Notropis semperasper  OR "
"207","Notropis shumardi  OR "
"208","Notropis simus  OR "
"209","Notropis spectrunculus  OR "
"210","Notropis stilbius  OR "
"211","Notropis stramineus  OR "
"212","Notropis suttkusi  OR "
"213","Notropis telescopus  OR "
"214","Notropis texanus  OR "
"215","Notropis topeka  OR "
"216","Notropis uranoscopus  OR "
"217","Notropis volucellus  OR "
"218","Notropis wickliffi  OR "
"219","Notropis xaenocephalus  OR "
"220","Opsopoeodus emiliae  OR "
"221","Oregonichthys crameri  OR "
"222","Oregonichthys kalawatseti  OR "
"223","Orthodon microlepidotus  OR "
"224","Pararhinichthys bowersi  OR "
"225","Phenacobius catostomus  OR "
"226","Phenacobius crassilabrum  OR "
"227","Phenacobius mirabilis  OR "
"228","Phenacobius teretulus  OR "
"229","Phenacobius uranops  OR "
"230","Pimephales notatus  OR "
"231","Pimephales promelas  OR "
"232","Pimephales tenellus  OR "
"233","Pimephales vigilax  OR "
"234","Plagopterus argentissimus  OR "
"235","Platygobio gracilis  OR "
"236","Pogonichthys ciscoides  OR "
"237","Pogonichthys macrolepidotus  OR "
"238","Pteronotropis euryzonus  OR "
"239","Pteronotropis grandipinnis  OR "
"240","Pteronotropis hubbsi  OR "
"241","Pteronotropis hypselopterus  OR "
"242","Pteronotropis merlini  OR "
"243","Pteronotropis metallicus  OR "
"244","Pteronotropis signipinnis  OR "
"245","Pteronotropis stonei  OR "
"246","Pteronotropis welaka  OR "
"247","Ptychocheilus grandis  OR "
"248","Ptychocheilus lucius  OR "
"249","Ptychocheilus oregonensis  OR "
"250","Ptychocheilus umpquae  OR "
"251","Relictus solitarius  OR "
"252","Rhinichthys atratulus  OR "
"253","Rhinichthys cataractae  OR "
"254","Rhinichthys cobitis  OR "
"255","Rhinichthys deaconi  OR "
"256","Rhinichthys evermanni  OR "
"257","Rhinichthys falcatus  OR "
"258","Rhinichthys obtusus  OR "
"259","Rhinichthys osculus  OR "
"260","Rhinichthys umatilla  OR "
"261","Richardsonius balteatus  OR "
"262","Richardsonius egregius  OR "
"263","Scardinius erythrophthalmus  OR "
"264","Semotilus atromaculatus  OR "
"265","Semotilus corporalis  OR "
"266","Semotilus lumbee  OR "
"267","Semotilus thoreauianus  OR "
"268","Siphateles alvordensis  OR "
"269","Siphateles bicolor  OR "
"270","Siphateles boraxobius  OR "
