"","CODE","mean_troph","sd_troph"
"1","BB",3.80888045075943,0.370491130781379
"2","BK",3.58110403397028,0.0855586154905075
"3","BND",3.43830148619958,0.339771357192895
"4","BNM",3.46596439653764,0.166464606411227
"5","CB",2.49734607218684,0.0810695672697952
"6","CC",3.67790117195463,0.378596709537047
"7","CF",NA,NA
"8","CLM",3.41485082132082,0.189819016416227
"9","CR",2.76235972095845,0.276780507883013
"10","CS",3.46179860479224,0.144171283299448
"11","FHM",3.48126326963907,0.252571856182138
"12","FI",2.86158629056718,0.309346473546439
"13","FO",2.9352776846575,0.212755854244001
"14","FP",3.17584167424932,0.375093805460776
"15","FSD-NRD",3.68577494692144,0.225695613634667
"16","GS",3.92339356124615,0.348845766402322
"17","LLS",2.98182059447983,0.156865319518644
"18","LT",NA,NA
"19","MM",3.38842129208371,0.141705105845583
"20","NPD",3.48089171974522,0.650808470582523
"21","NRD",3.7278142467178,0.370874692057536
"22","PS",3.68709343610055,0.240901583907485
"23","RBS",3.6452719255267,0.373165742816777
"24","RS",NA,NA
"25","SMB",3.64819257175945,0.183207404987413
"26","SS",NA,NA
"27","ST",3.57669851380042,0.584327923980737
"28","WS",3.26241000590649,0.259263913843196
"29","zoop",2.29463906581741,0.417133300578748
