ST,CS,CC,WS,NRD,PS,LMB,SMB,lake.richnes,Volume.m3.,Littoral.Area..ha.,Elevation..m.,Watershed,Quad,LONG,LAT
1,1,1,1,0,1,0,0,6,570848,3.1,576,Raquette,Little Tupper Lake ,-74.73101389,44.11395
1,1,1,1,1,1,0,0,8,401875,3.7,607,Raquette,Little Tupper Lake ,-74.724625,44.11589444
1,0,1,1,1,1,0,0,9,12855570,10.9,607,Raquette,Little Tupper Lake ,-74.71740278,44.12061667
0,1,1,1,0,1,0,0,6,37714,1.6,531,Raquette,Wolf Mtn. ,-74.80323611,44.06533889
1,1,1,1,0,1,0,0,7,2237002,17.2,531,Raquette,Wolf Mtn. ,-74.79962778,44.08533889
1,1,1,1,1,1,0,0,8,1787705,37.7,486,Raquette,Piercefield ,-74.56933889,44.16256111
1,0,1,1,0,0,0,0,4,6313277,10,545,Raquette,Tupper Lake ,-74.44294444,44.16172778
0,0,0,1,1,1,0,0,4,264025,2,484,Raquette,Tupper Lake ,-74.42211111,44.20894722
0,0,0,1,0,0,0,0,5,28859,1.9,472,Raquette,Tupper Lake ,-74.34405278,44.20616944
0,0,1,1,0,0,0,1,9,2825129,35.1,472,Raquette,Tupper Lake ,-74.31433056,44.21144722
0,0,0,1,0,0,0,0,4,18587,1.1,475,Raquette,Tupper Lake ,-74.31794167,44.21783611
0,0,0,1,0,1,0,0,5,46923,6,472,Raquette,Tupper Lake ,-74.29516389,44.22311389
1,0,0,1,0,0,0,0,5,42864,1.5,479,Raquette,Tupper Lake ,-74.303775,44.21394722
0,0,0,1,0,1,0,0,6,121044,4.9,479,Raquette,Tupper Lake ,-74.29266111,44.19505833
1,0,1,1,0,0,0,0,5,404872,5.7,486,Raquette,Tupper Lake ,-74.30238333,44.19061389
1,1,1,1,0,0,0,0,4,7606,1.6,597,Raquette,Ampersand Lake,-74.17210278,44.212
0,1,0,1,0,1,0,1,5,228926,5.5,541,Raquette,Kempshall Mtn. ,-74.41488611,44.07672778
1,1,1,1,1,1,0,0,7,877217,2.9,559,Raquette,Kempshall Mtn. ,-74.411275,44.07339444
1,1,0,1,1,1,0,0,6,87372,8.5,525,Raquette,Tupper Lake ,-74.29543889,44.13617222
0,1,1,1,0,1,0,0,6,20769,2.4,527,Raquette,Tupper Lake ,-74.29627222,44.14367222
1,1,1,1,1,1,0,0,8,79800,3.2,529,Raquette,Kempshall Mtn. ,-74.25904722,44.09589444
1,1,1,1,0,0,0,0,4,200853,7.5,685,Raquette,Ampersand Lake ,-74.07404167,44.18116389
1,0,0,1,0,0,0,0,2,401822,24.4,649,Raquette,Ampersand Lake ,-74.10904167,44.1395
1,0,1,1,0,1,0,0,7,231573,13.3,500,Raquette,Deerland ,-74.42571667,43.97089444
1,0,1,1,0,0,0,0,5,56895,10.4,533,Raquette,Deerland ,-74.40405,43.97061667
0,0,1,1,0,1,0,0,7,8296689,61.8,538,Raquette,Deerland ,-74.45432778,43.92867222
1,0,1,1,0,0,0,0,4,450575,37.5,559,Raquette,Deerland ,-74.43877222,43.89811944
1,0,0,1,0,0,0,0,4,196370,3,564,Raquette,Forked Lake ,-74.50738611,43.94228333
0,1,1,1,0,1,1,0,10,524424,19.4,522,Raquette,Kempshall Mtn. ,-74.42933056,44.01200556
0,0,1,1,0,1,1,1,8,6104590,70.1,522,Raquette,Kempshall Mtn. ,-74.42405278,44.02228333
1,1,1,1,0,1,0,0,11,4616344,36.4,532,Raquette,Kempshall Mtn. ,-74.48516667,44.02311667
1,1,0,1,0,1,0,0,11,4114151,12.3,537,Raquette,Kempshall Mtn. ,-74.47322222,44.04672778
1,1,1,1,1,1,0,0,9,796722,10.3,516,Raquette,Kempshall Mtn. ,-74.35293889,44.08033889
1,0,0,1,0,1,0,1,6,1422377,31.8,556,Raquette,Raquette Lake ,-74.55099722,43.86506389
1,0,0,1,0,1,1,1,10,1084234,28.8,537,Raquette,Raquette Lake ,-74.62766667,43.83895278
1,0,1,1,1,0,0,0,4,56780,1.4,625,Raquette,Raquette Lake,-74.55738611,43.803675
1,0,0,1,0,1,1,1,10,4607178,46.7,545,Raquette,Raquette Lake ,-74.54321944,43.83478611
0,0,0,1,0,1,1,1,9,3169395,17.1,545,Raquette,Blue Mtn. Lake ,-74.48766111,43.84200833
0,0,1,1,1,0,0,0,4,8794,1.6,564,Raquette,Blue Mtn. Lake ,-74.49377222,43.86200833
1,0,0,1,0,1,0,1,8,3339138,14.2,616,Raquette,Wakely Mtn. ,-74.65016389,43.74311944
1,0,1,1,0,0,0,0,8,7130907,9.5,580,Raquette,Raquette Lake ,-74.62821944,43.76589722
1,0,0,1,0,1,1,1,9,2735984,22,538,Raquette,Raquette Lake ,-74.70044722,43.80478611
0,1,0,1,0,1,1,0,7,739406,8.1,538,Raquette,Raquette Lake ,-74.70933611,43.80228611
1,1,0,1,0,1,0,0,6,94155,10.9,549,Raquette,Raquette Lake ,-74.69850278,43.84061944
1,1,0,1,0,1,0,1,7,3631588,48.9,551,Raquette,Raquette Lake ,-74.74406111,43.81673056
1,0,0,1,0,1,0,0,5,5960110,9.6,597,Raquette,Eagle Bay ,-74.80656111,43.813675
0,0,0,1,0,1,0,1,5,9979,1,326,Mohawk,Lasselsville ,-74.59819722,43.03007222
0,0,1,1,0,0,0,0,3,7338,1.7,405,Mohawk,Peck Lake ,-74.46347222,43.10618333
0,0,0,1,0,1,0,1,11,11335500,37.9,443,Mohawk,Caroga Lake ,-74.49069722,43.13173889
0,0,0,1,0,1,1,0,5,354136,24.2,427,Mohawk,Lasselsville ,-74.55625278,43.06451667
0,0,0,1,0,1,0,1,7,490771,33.1,415,Mohawk,Salisbury ,-74.84154167,43.16173611
0,0,0,1,0,1,0,0,10,2659022,33.4,470,Mohawk,Canada Lake ,-74.53375278,43.16923611
0,0,1,1,0,0,0,0,3,17338,3.8,692,Mohawk,West Canada Lakes ,-74.61098889,43.50729167
1,1,1,1,1,0,0,0,6,779632,13.8,731,Mohawk,West Canada Lakes ,-74.57543333,43.57617778
1,0,1,1,1,0,0,0,5,18170,2.2,707,Mohawk,West Canada Lakes ,-74.60543611,43.58034444
1,0,1,1,0,0,0,0,5,1757700,12.7,715,Mohawk,West Canada Lakes ,-74.62099167,43.5884
