GEN_N,FISH_N,,,,
126,CC_HRM_SHI_09262021_MWT_002,,173,CC_HRM_FOR_09242021_MWT_008,
127,PS_HRM_SHI_09262021_MWT_001,,174,BB_WFL_09122021_MWT_001,
128,CC_HRM_SHI_09262021_MWT_004,,175,GS_TPP_08202021_MWT_004,
129,CC_HRM_SHI_09262021_MWT_003,,176,ST_TPP_08202021_MWT_001,
130,CC_HRM_BAR_09242021_MWT_012,,177,GS_TPP_08202021_MWT_003,
131,CC_HRM_BAR_09242021_MWT_013,,178,BB_LOP_08202021_MWT_002,
132,CC_HRM_BAR_09242021_MWT_015,,179,GS_LOP_08202021_MWT_001,
133,CC_HRM_BAR_09242021_MWT_014,,180,BB_LOP_08202021_MWT_001,
134,CC_HRM_BAR_09242021_MWT_016,,181,BB_LOP_08202021_MWT_006,
135,PS_HRM_BW2_09242021_MWT_001,,182,CC_LOP_08202021_MWT_002,
136,FSD-NRD_HRM_BW2_09242021_MWT_001,,183,PS_LOP_08202021_MWT_001,
137,NRD_HRM_BW2_09242021_MWT_001,,184,CC_LOP_08202021_MWT_003,
138,FSD-NRD_HRM_BW2_09242021_MWT_002,,185,PS_LOP_08202021_MWT_003,
139,NRD_HRM_BW2_09242021_MWT_002,,186,PS_LOP_08202021_MWT_002,
140,FSD-NRD_HRM_BW2_09242021_MWT_003,,187,CC_LOP_08202021_MWT_001,
141,PS_HRM_BW2_09242021_MWT_002,,188,GS_TPP_08202021_MWT_002,
142,BB_HRM_SHI_09242021_MWT_003,,189,BK_LOP_08202021_MWT_001,
143,BB_HRM_SHI_09242021_MWT_001,,190,CC_LOP_08202021_MWT_004,
144,BB_HRM_SHI_09242021_MWT_002,,191,BB_LOP_08202021_MWT_004,
145,NPD_HRM_FOR_09242021_MWT_004,,192,CC_LOP_08202021_MWT_005,
146,CC_HRM_FOR_09242021_MWT_001,,193,BB_LOP_08202021_MWT_003,
147,CC_HRM_FOR_09242021_MWT_003,,194,BB_LOP_08202021_MWT_005,
148,NRD_HRM_FOR_09242021_MWT_004,,195,BM_LOP_08212021_MWT_003,
149,FSD-NRD_HRM_FOR_09242021_MWT_005,,196,BM_LOP_08212021_MWT_001,
150,CC_HRM_FOR_09242021_MWT_002,,197,BM_LOP_08212021_MWT_002,
198,GS_TPP_08222021_MWT_007,,245,NRD_TPP_08222021_MWT_003,
199,WS_TPP_08212021_MWT_002,,246,GS_TPP_08212021_MWT_003,
200,WS_TPP_08212021_MWT_001,,247,CC_TPP_08212021_MWT_003,
201,CC_TPP_08212021_MWT_006,,248,GS_TPP_08212021_MWT_002,
202,CC_TPP_08212021_MWT_005,,249,NPD_TPP_08212021_MWT_001,
203,CC_TPP_08212021_MWT_004,,250,NRD_TPP_08212021_MWT_001,
204,CC_LOP_08212021_MWT_008,,251,FHM_TPP_08212021_MWT_002,
205,GS_LOP_08212021_MWT_005,,252,FHM_TPP_08212021_MWT_001,
206,CC_LOP_08212021_MWT_007,,253,FHM_TPP_08212021_MWT_003,
207,CC_LOP_08212021_MWT_011,,254,RBS_WFL_09102021_MWT_007,
208,GS_LOP_08212021_MWT_008,,255,RBS_WFL_09102021_MWT_008,
209,CC_LOP_08212021_MWT_010,,256,RBS_WFL_09102021_MWT_006,
210,CC_LOP_08212021_MWT_009,,257,RBS_WFL_09102021_MWT_004,
211,WS_LOP_08212021_MWT_003,,258,RBS_WFL_09102021_MWT_003,
212,CC_LOP_08212021_MWT_013,,259,RBS_WFL_09102021_MWT_005,
213,CC_LOP_08212021_MWT_012,,260,CLM_WFL_09102021_MWT_005,
214,CC_LOP_08212021_MWT_014,,261,CLM_WFL_09102021_MWT_007,
215,GS_LOP_08212021_MWT_006,,262,CLM_WFL_09102021_MWT_001,
216,FHM_LOP_08212021_MWT_004,,263,CC_WFL_09102021_MWT_004,
