ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
,,,,5,,,4,,,6,,,119,3,7,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6535932,70.2,508,Champlain,Bloomingdale 
,,,,13,,,29,,,,,,191,3,6,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286825,35,508,Champlain,Bloomingdale 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11655,0.8,509,Champlain,Bloomingdale 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22575,0.7,512,Champlain,Bloomingdale 
33,,,,,,,,,,,,,124,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175833,5.9,513,Champlain,Bloomingdale 
,,,,3,,,16,,,24,,5,3,1,18,94,3,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840976,7.7,510,Champlain,Bloomingdale 
,,,,,,,,,,,39,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188376,12.5,513,Champlain,Wilmington 
,,,,9,,,19,,,36,,,314,8,45,281,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,5840244,92.2,446,Champlain,Wilmington 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,982,0.2,512,Champlain,Bloomingdale 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9703,1,518,Champlain,Loon Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21880,1.5,546,Champlain,Loon Lake 
39,,17,,,,,,,2,4,,,1,4,,,,4,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922230,11.4,472,Champlain,Saranac Lake 
1,,,,,,,,42,19,19,4,,13,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15228,2.6,515,Champlain,Bloomingdale 
,,,,15,,,,,,1,,,4,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239559,5.7,470,Champlain,Saranac Lake 
