ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
1,,,,,,,213,,1,33,,,,18,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877814,1.8,546,Champlain,Lake Placid 
3,,,,,,,27,,12,28,168,,,,,,,,,,,,1,,,,,,,,8,,,,,,27,,,,,,,,,,,,,,,,,,10468,1.2,535,Champlain,Lake Placid 
4,,,,,,,20,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,43282,2.6,570,Champlain,Lake Placid 
1,,,,,,,,,3,29,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36662,4,558,Champlain,Lake Placid 
1,,,,,,,16,34,35,30,2,,33,6,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12855,2.4,503,Champlain,Lake Placid 
2,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100632,3.9,504,Champlain,Lake Placid
20,,,,,,,,,17,22,8,,145,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,77653,2.9,521,Champlain,Lake Placid 
,4,,,,,,35,2,,15,,2,2,,,78,,,,,,,,86,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736936,11.7,506,Champlain,Lake Placid 
14,,,,,,,108,184,12,18,39,12,27,1,,,,,,,,,,,2,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,134798,4.9,518,Champlain,Lake Placid 
2,,,,,,,40,32,2,26,,5,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18521,1.6,520,Champlain,Lake Placid 
3,,,,,,,133,70,17,20,1,,5,2,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,43323,1.5,543,Champlain,Lake Placid 
13,,,,,,,,,3,59,3,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,44513,7.7,514,Champlain,Lake Placid 
,3,,,,,,15,34,10,36,,16,5,1,,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91394,8.7,528,Champlain,Lake Placid 
,,,,,,,15,,,33,,,19,10,,57,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70572,6.9,570,Champlain,Lake Placid 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17639,1.2,853,Champlain,Saranac Lake
8,2,,,,,,,47,33,21,,,35,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99330,5.1,558,Champlain,Saranac Lake 
,1,,,,,,52,,,71,,,37,19,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468529,11.1,635,Champlain,Keene Valley 
7,,,,,,,,,8,66,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55802,6.2,570,Champlain,Keene Valley 
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,0.3,685,Champlain,Keene Valley 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10100,1.2,972,Champlain,Ampersand Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7479,0.8,954,Champlain,Ampersand Lake 
17,,,,,,,,,,66,,,48,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,544614,3.2,661,Champlain,Keene Valley 
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8004,1.2,715,Champlain,Keene Valley 
,,,,,,,,,,,,,38,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99870,7.8,295,Champlain,Ausable Forks 
,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39692,1.1,503,Champlain,Lake Placid 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3347,0.8,678,Champlain,Keene Valley 
3,4,,,,,,1,,2,12,,,,4,,,,,,,,,29,,,27,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,345522,6,618,Champlain,Keene Valley 
3,4,,,,,,1,,,31,,,,,,,,,,,,,,,,8,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,1144425,1.1,620,Champlain,Keene Valley 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13393,1.4,655,Champlain,Keene Valley 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6171,1.2,863,Champlain,Lewis 
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705,0.4,452,Champlain,Lake Placid 
16,,,,,,,8,,5,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,30733,0.8,695,Champlain,Elizabethtown 
12,,12,,,,,21,,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,685476,2.4,491,Champlain,Keene Valley 
6,,3,,,,,,175,20,168,2,,1,,,,,,,,,,,,,,,,111,,1,,,,,,,,4,,,,,,,,,,,,,,,,1722556,32.2,595,Champlain,Mt. Marcy 
29,,,,,,,,788,8,276,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,2702942,24.8,607,Champlain,Mt. Marcy 
,,,,,,,,,90,,1,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50049,5.3,229,Champlain,Lewis 
,9,,,,,,,,5,65,46,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289608,21.8,188,Champlain,Lewis
7,,,,,,,60,,49,32,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38619,3,190,Champlain,Lewis 
3,,,,,,,26,,48,8,27,,,10,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,225399,0.7,225,Champlain,Ausable Forks 
,,,,2,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38734,0.7,237,Champlain,Ausable Forks 
,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146181,0.5,253,Champlain,Ausable Forks 
,,,,,,,,,,,17,,5,,,,,,,,,,,,,,,,21,,,,,,,,248,,,,,,,,,,,,,,,,,,369111,2.6,315,Champlain,Ausable Forks 
,1,,,3,,,9,,,37,5,,5,11,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,163602,13.8,262,Champlain,Ausable Forks 
,,,,,,,1,,,15,,,,,,,1,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,42981,3.5,262,Champlain,Ausable Forks 
61,,,,,,,,,,,,,6,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31426,0.8,495,Champlain,Elizabethtown 
69,,,,,,,61,,22,1,,37,49,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688509,23.7,465,Champlain,Elizabethtown 
,,,,6,,,3,,,,,,,9,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354974,4.8,454,Champlain,Witherbee 
,,,,3,,,,,,,,,8,5,,13,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15363,2,460,Champlain,Witherbee 
,,,,9,,,,,2,2,,,12,10,,29,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801569,8.9,460,Champlain,Witherbee 
,,,,8,,,97,,,,,,8,9,,27,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80941,3.4,461,Champlain,Witherbee 
,,,,,,,139,,2,6,,,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17303,0.6,465,Champlain,Witherbee 
14,,,,,,,1,,50,28,3,,,,,,,,,,,,2,,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,14170,2.4,174,Champlain,Elizabethtown 
2,,4,,,,,2,1,,10,,,10,28,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12493,1.2,175,Champlain,Elizabethtown 
,,,,,,,,,,25,,,1,95,,26,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498062,4.5,328,Champlain,Elizabethtown 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2441,0.3,469,Champlain,Witherbee 
15,,,,,,,52,,,38,,,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384926,4.6,527,Champlain,Witherbee 
15,,,,,,,81,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9741,1.2,465,Champlain,Witherbee 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4936,0.8,482,Champlain,Witherbee 
6,,,,,,,185,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21994,1,483,Champlain,Witherbee 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4398,0.7,195,Champlain,Westport 
,9,,,,,,27,,3,44,,1,137,17,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,163158,4.3,186,Champlain,Port Henry 
3,,,,,,,29,,27,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68884,1.1,485,Champlain,Witherbee 
45,,,,,,,75,,,47,,,15,17,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,414788,9.2,485,Champlain,Elizabethtown 
1,2,,,,,,31,,1,29,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9966,0.8,405,Champlain,Witherbee 
1,2,,,,,,76,136,13,15,,,48,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15793,1.9,366,Champlain,Witherbee 
,,,,,,,1,,,6,,,2,,,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341927,1.3,460,Champlain,Witherbee 
,,,,,,,85,,10,276,,,83,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17154,2.3,411,Champlain,Witherbee 
,,11,,,,,,,15,66,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83131,5.6,445,Champlain,Witherbee 
,,9,,,,,552,,37,152,,,39,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407134,15,411,Champlain,Witherbee 
,,,,,,,,,46,31,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77731,1.9,448,Champlain,Witherbee
,,,,,,,,,27,25,,,11,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23548,3.6,441,Champlain,Witherbee 
,,,,,,,113,,5,,,,69,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46949,4.8,350,Champlain,Witherbee 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7153,1.5,350,Champlain,Eagle Lake 
1,,,,9,,,5,,,1,,,59,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464363,11.8,328,Champlain,Eagle Lake 
7,,,,,,,92,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40538,2.9,338,Champlain,Eagle Lake 
,,,,5,,,18,,,,,,55,9,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128306,6.6,336,Champlain,Eagle Lake 
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92993,3.9,430,Champlain,Graphite
6,23,,,,,,90,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585213,3,479,Champlain,Graphite 
,,,,6,,,39,,,52,,61,25,9,,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259559,42.5,399,Champlain,Graphite 
,,,,9,,,2,,,,,,44,8,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436475,15.1,511,Champlain,Graphite
19,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373003,2.1,450,Champlain,Graphite 
3,,,,,,,60,,46,108,,27,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,927908,1,432,Champlain,Graphite 
1,,,,,,,40,,93,14,,,31,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6388,0.8,457,Champlain,Graphite 
,,,,,,,9,,,24,,12,11,13,,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844757,29.7,399,Champlain,Graphite 
,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29606,3.6,424,Champlain,Graphite 
,,,,,,,,,,,,,,,7,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156275,0.9,338,Champlain,Crown Point 
,,,,5,,,60,,,,,59,4,18,36,26,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,309703,2.5,383,Champlain,Crown Point 
,,,,,,,,,,,,,,203,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130949,16.4,174,Champlain,Putnam 
,,,,,,,25,,2,,,,27,29,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7934,0.9,347,Champlain,Whitehall 
,,,,,,,,,,,,,,13,28,1,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229431,1.9,417,Champlain,Whitehall 
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,,,,,,,,,,,,,,,,31956,1.8,518,Champlain,Shelving Rock 
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,15712,0.6,518,Champlain,Shelving Rock 
,,,,2,,,62,,,,,,18,21,,32,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45429,7,215,Champlain,Warrensburg 
,,,,1,,,,,,,,,1,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268980,4.1,227,Champlain,Warrensburg 
,,1,,,6,,2,,,,,1,14,23,9,73,12,2,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6646143,33.2,240,Champlain,Bolton Landing 
11,,1,,,11,,6,,,,,,95,3,,37,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728778,3.4,318,Champlain,Bolton Landing 
,,,,,,,,,,,,,71,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93182,4.5,143,Champlain,Bolton Landing 
9,,,,,,,50,,4,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71394,1.8,332,Champlain,Brant Lake 
28,,,,,,,8,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8936,0.5,277,Champlain,Silver Bay 
1,,,,,,,,,,,,,3,,,,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149314,2.6,357,Champlain,Brant Lake 
24,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,7,,,,,470966,6.4,399,Champlain,Brant Lake 
,,,,,,,6,,,,,,98,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,221070,12.8,408,Champlain,Brant Lake 
,,,,,,,13,,,,,,26,,,,,,,,,,,6,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,12836,0.5,405,Champlain,Brant Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21481,2.6,451,Champlain,Silver Bay 
1,5,6,,,,,54,,40,,2,12,13,,,,,,13,,,,,9,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,656348,3.5,377,Champlain,Brant Lake 
1,,,,,,,10,,,,8,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69070,2.5,383,Champlain,Brant Lake 
,,,,,,,336,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17055,2.4,418,Champlain,Silver Bay 
46,,,,,,,32,,,,,,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3459018,20.3,400,Champlain,Silver Bay 
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56626,1.7,419,Champlain,Silver Bay 
,,,,1,,,8,,,1,,,97,39,10,25,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430135,29.2,335,Champlain,Graphite 
,,,,,,,64,,,,,63,2,30,,113,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919533,6.4,292,Champlain,Whitehall 
,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11237,0.9,320,Champlain,Whitehall 
4,,,,,,,10,,76,23,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14769,0.7,326,Champlain,Whitehall 
18,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45865,3.3,524,Champlain,Shelving Rock 
2,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536,0.4,524,Champlain,Shelving Rock 
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50355,1.9,571,Champlain,Shelving Rock 
9,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46323,2.6,492,Champlain,Shelving Rock 
30,,,,,,,14,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815657,5.1,559,Champlain,Shelving Rock 
15,,,,,,,114,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42774,1.9,582,Champlain,Shelving Rock 
1,,,,,,,13,,,11,,,2,91,67,63,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873608,12.1,261,Champlain,Putnam Mtn. 
,,,,,,,,,,,,,,,66,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283587,7.5,422,Champlain,Shelving Rock 
,,,,,,,5,,,,,,8,,248,98,,33,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3324201,10.2,446,Champlain,Putnam Mtn. 
,,,,3,,,36,,,,,,1,113,16,66,4,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698857,12.9,137,Champlain,Putnam Mtn. 
,,,,,,,,,,,,,4,33,40,47,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354140,3.5,279,Champlain,Putnam Mtn. 
,,,,,,,26,,,,,,5,25,30,28,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138394,0.7,381,Champlain,Putnam Mtn. 
,,,,,,,21,,,2,,,4,33,12,14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53046,0.9,381,Champlain,Putnam Mtn. 
,,,,,,,11,,,,,,7,21,12,39,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179753,1,381,Champlain,Putnam Mtn. 
,,,,1,,,2,,,3,,,6,51,49,203,7,14,,6,,,,,,,,,,,,1,,,53,,,,,,,,,,,,,,,,,,,,4197790,26.7,138,Champlain,Putnam Mtn. 
,,,,,,,,,,,,,141,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80371,1.7,411,Champlain,Putnam Mtn. 
,,,,,,,16,,,,,,7,25,146,92,1,36,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3407705,17.2,255,Champlain,Putnam Mtn. 
,,,,,13,,35,,,,,,9,24,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106199,2.6,350,Champlain,Lake George
,,,,,,,,,,,,,66,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749985,24.5,315,Champlain,Lake George 
,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191892,7.2,395,Champlain,Lake Luzerne 
,,,,,,,11,,,182,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,5.5,343,St. Lawrence - Canada,Churubusco 
,1,2,,,,,81,,1,99,,,29,143,,127,,3,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1146411,66.1,399,St. Lawrence - Canada,Brainardsville 
4,7,,,,,,95,,3,106,,,30,7,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832004,43.3,501,St. Lawrence - Canada,Ellenburg Center 
15,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2842,0.5,489,St. Lawrence - Canada,Lyon Mtn. 
,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129018,9.7,532,St. Lawrence - Canada,Lyon Mtn. 
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53976,5.3,532,St. Lawrence - Canada,Lyon Mtn. 
,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32451,3.6,594,St. Lawrence - Canada,Ragged Lake 
1,,,,,,,,,1,57,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28947,4.5,393,St. Lawrence - Canada,Chasm Falls 
,11,,1,,,,5,9,2,160,,3,7,7,75,217,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8637690,45.4,426,St. Lawrence - Canada,Lake Titus 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4530,0.4,423,St. Lawrence - Canada,Chasm Falls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5461,0.7,442,St. Lawrence - Canada,Owls Head 
14,,,,,,,,,,18,52,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10261,1.5,450,St. Lawrence - Canada,Owls Head 
27,,,,,,,,,29,132,43,,55,,,,,,,,5,,,,,,,,5,,1,,,,,,,,,,,33,,,,,,,,,,,,,1590021,12.4,477,St. Lawrence - Canada,Owls Head 
,,,,,,,9,,,19,,,89,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301367,22.8,500,St. Lawrence - Canada,Debar Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25579,0.6,504,St. Lawrence - Canada,Debar Mtn. 
10,,,,,,,4,4,9,68,170,,25,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,25377,4.6,509,St. Lawrence - Canada,Loon Lake 
13,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,57068,3.5,506,St. Lawrence - Canada,Debar Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14440,1.6,726,St. Lawrence - Canada,Debar Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9773,1.2,726,St. Lawrence - Canada,Debar Mtn. 
22,,,6,,,,,,6,112,3,64,20,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,6,,,,,,,,,,,,1933109,14.5,501,St. Lawrence - Canada,Brainardsville 
,28,,,,,,18,1,1,125,,,171,77,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542542,97.1,453,St. Lawrence - Canada,Ragged Lake 
8,,,,,,,2,,,141,,,27,30,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3769281,74,453,St. Lawrence - Canada,Owls Head 
,,,,,,,,,50,23,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3434,0.4,459,St. Lawrence - Canada,Ragged Lake 
5,,,,,,,96,57,15,27,26,115,19,29,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149301,1.8,454,St. Lawrence - Canada,Ragged Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25049,0.6,462,St. Lawrence - Canada,Ragged Lake 
,1,,,,,,54,7,5,84,,,672,54,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890189,68.3,528,St. Lawrence - Canada,Ragged Lake 
9,,,,,,,41,9,1,95,16,,13,,,1,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,34377,5.9,532,St. Lawrence - Canada,Ragged Lake 
15,,,,,,,95,,1,100,,,21,2,,84,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,,,,,,,,,,,,130708,14.3,539,St. Lawrence - Canada,Brainardsville 
,,,,,,,15,,17,,282,1,1,,,,,,,,,,,,,,,,,,3,,,,,,34,,,,,,,,,,,,,,,,,,20759,2.6,456,St. Lawrence - Canada,Ragged Lake 
36,,,,,,,2,,7,55,,84,311,20,,,,,,,,,,,,,,,,,2,,,,,,60,,,,,,,,,,,,,,,,,,487930,43.8,520,St. Lawrence - Canada,Ragged Lake 
,,,,,,,,,,,2,,81,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,16879,2.4,521,St. Lawrence - Canada,Loon Lake 
22,,,,,,,,,43,,55,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,31337,2.6,480,St. Lawrence - Canada,Loon Lake 
