Pond #,Pond Name,Town,Quad,Park,Ownership,Wilderness Area,County, Watershed, LTM, Primitive Area, Wild Forest Area,Latitude,Longitude,Watershed Area (ha), Volume(m3),WA/SA ratio,Max Depth (m),NYTMN,NYTME,Runoff (cm),Littoral Area (ha),%Shore Slope >5deg,Mean Depth (m),Elevation (m), Surface Area (ha),Flushing Rate(times/yr),Shoreline Length (km),Date,ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF
20038,ORE POND ,Black Brook ,Redford ,Y ,Private ,None ,Clinton,Champlain,N,None,None,443527,734830,279.8,77341,45.9,2.4,49381,5947,38,6.1,70,1.3,363,6.1,13.7,1.2,5/6/1985,,,,,22,,,,,,,2,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20039,WHISTLE POND ,Black Brook ,Redford ,Y ,Mixed ,None ,Clinton,Champlain,N,None,Unnamed,443403,734904,40.2,48375,11.2,3.1,49355,5938,38,3.6,99,1.3,431,3.6,3.2,0.9,9/4/1984,,,,,,,,,,2,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040,MUD POND ,Black Brook ,Redford ,Y ,Private ,None ,Clinton,Champlain,N,None,None,443527,734616,384.6,52337,52.7,1.2,49379,5973,38,7.3,90,0.7,359,7.3,27.9,1.2,5/7/1986,2,,,,,,,,,18,42,42,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20042,MUD POND ,Black Brook ,Alder Brook ,Y ,Mixed ,None ,Clinton,Champlain,N,None,Unnamed,443348,735450,946.4,352783,21.5,1.5,49347,5855,38,44.1,90,0.8,418,44.1,10.2,2.9,10/24/1984,9,,,,,,,19,,29,131,,,91,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20045,MERRILL POND ,Franklin ,Loon Lake ,Y ,Private ,None ,Franklin,Champlain,N,None,None,443052,740113,639.5,33801,193.8,2.4,49295,5777,51,3.3,30,1,517,3.3,96.5,0.9,5/6/1985,44,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020045A,DEL (GOLDSMITH) POND ,Saranac ,Alder Brook ,Y ,Private ,None ,Clinton,Champlain,N,None,None,443712,735648,126.4,20070,60.2,2.1,49412,5836,51,2.1,3,1,464,2.1,32.1,0.8,5/6/1986,5,,,,,,,83,,14,16,99,,2,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
20046,MOUNTAIN POND ,Franklin ,Loon Lake ,Y ,Private ,None ,Franklin,Champlain,N,None,None,443239,740432,8.2,129797,4.3,14.9,49326,5733,51,0.4,0,6.8,498,1.9,0.3,0.6,5/6/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
020046A,LINE POND ,Franklin ,Loon Lake ,Y ,Private ,None ,Franklin,Champlain,N,None,None,443238,740449,10,79845,5.3,10.7,49326,5730,51,0.6,0,4.2,511,1.9,0.6,0.5,5/7/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20048,LOON LAKE ,Franklin ,Loon Lake ,Y ,Private ,None ,Franklin,Champlain,N,None,None,443336,740443,797.5,7399735,5.6,16.5,49343,5736,64,49.4,1,5.2,522,143.1,0.7,11.9,5/9/1985,,,,,1,,,8,4,,114,,,14,14,78,211,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20049,LOWER INMAN POND ,Franklin ,Loon Lake ,Y ,Private ,None ,Franklin,Champlain,N,None,None,443405,740533,39.4,35002,24.6,4.6,49352,5722,64,1.2,3,2.2,521,1.6,7.2,0.5,5/9/1985,,,,,,,,119,,,26,,,4,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051,BASS LAKE,Franklin,Loon Lake,Y,Private,None,Franklin,Champlain,N,None,None,443359,740404,20.4,132179,6.2,8.2,49352,5740,51,1.3,20,4,521,3.3,0.8,0.8,4/28/1986,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20052,MUD POND ,Franklin ,Loon Lake ,Y ,Private ,None ,Franklin,Champlain,N,None,None,443212,740511,8970.3,318290,492.9,5.5,49317,5716,64,15.1,10,1.8,504,18.2,180.4,2.5,5/7/1986,,,,,9,,,19,,,44,,,10,9,16,50,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20055,LAKE KUSHAQUA ,Franklin ,Loon Lake ,Y ,Mixed ,None ,Franklin,Champlain,N,None,Debar Mtn,443139,740613,7386.7,9541862,44.8,27.7,49293,5702,64,64,95,6.2,509,152.6,4.6,12.6,5/23/1984,,,,,1,,,10,3,,,,1,6,,32,251,,,,,,,,,1,,,15,,,,,,,,,,,1,,,,,,,,,,,,,,,
20056,CHUB POND ,Franklin ,Loon Lake ,Y ,Public ,None ,Franklin,Champlain,N,None,Debar Mtn,443124,740605,79.2,70716,33,6,49303,5714,64,1.3,0,2.9,518,2.4,7.2,0.6,10/22/1984,5,1,,,,,,71,8,,21,,,,1,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
20057,MOUNTAIN POND ,Franklin ,Debar Mtn. ,Y ,Mixed ,None ,Franklin,Champlain,N,None,Debar Mtn,443137,740758,246.9,93664,20.7,2.1,49306,5686,64,11.9,12,0.8,557,11.9,16.9,1.5,5/8/1985,5,,,,,,,,,37,69,29,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
